case_id,scenario_id,case_name,case_type,common_random_group,spatial_rho,target_shift,overlap,fitted_graph,measurement_error,measurement_lambda,confounding,outcome_form,endpoint_structure,residual_law,primary_target_mode,primary_target_dose,primary_bandwidth,support_scale,measurement_substrate_lambda,target_design_mode,target_design_delta,temporal_dependence,calibration_subsample_fraction
MDB_S8_SMALL_CAL,S8,too little independent calibration information,scenario_failure,MDB_S8_SMALL_CAL,0.6,moderate,moderate,true_queen,none,0.0,observed_moderate,nonlinear,mixed_atoms_0_1,gaussian_gmrf,localized,0.75,0.1,90m_primary,0.0,identity,0.0,False,0.08
MDB_S9_RANDOM,S9,heteroscedastic random EO error,measurement_error_factor,MDB_S9_COMMON,0.4,moderate,moderate,true_queen,random,0.0,observed_moderate,nonlinear,mixed_atoms_0_1,gaussian_gmrf,localized,0.75,0.1,90m_primary,0.0,identity,0.0,False,1.0
MDB_S9_TREATMENT05,S9,random + treatment-correlated EO error,measurement_error_factor,MDB_S9_COMMON,0.4,moderate,moderate,true_queen,treatment_correlated,0.02,observed_moderate,nonlinear,mixed_atoms_0_1,gaussian_gmrf,localized,0.75,0.1,90m_primary,0.0,identity,0.0,False,1.0
MDB_S9_TREATMENT10,S9,stronger treatment-correlated EO error,measurement_error_factor,MDB_S9_COMMON,0.4,moderate,moderate,true_queen,treatment_correlated,0.04,observed_moderate,nonlinear,mixed_atoms_0_1,gaussian_gmrf,localized,0.75,0.1,90m_primary,0.0,identity,0.0,False,1.0
MDB_S9_SUBSTRATE,S9,random + substrate-specific EO bias,measurement_error_factor,MDB_S9_COMMON,0.4,moderate,moderate,true_queen,substrate_bias,0.0,observed_moderate,nonlinear,mixed_atoms_0_1,gaussian_gmrf,localized,0.75,0.1,90m_primary,0.02,identity,0.0,False,1.0
MDB_S9_COMBINED05,S9,combined treatment/substrate EO error,measurement_error_factor,MDB_S9_COMMON,0.4,moderate,moderate,true_queen,combined,0.02,observed_moderate,nonlinear,mixed_atoms_0_1,gaussian_gmrf,localized,0.75,0.1,90m_primary,0.02,identity,0.0,False,1.0
MDB_S10_90M,S10,primary 90 m support,support_factor,MDB_S10_COMMON,0.4,moderate,moderate,true_queen,none,0.0,observed_moderate,nonlinear,mixed_atoms_0_1,gaussian_gmrf,localized,0.75,0.1,90m_primary,0.0,identity,0.0,False,1.0
MDB_S10_180M,S10,anchored 180 m quality-consistent rerun,support_factor,MDB_S10_COMMON,0.4,moderate,moderate,true_queen,none,0.0,observed_moderate,nonlinear,mixed_atoms_0_1,gaussian_gmrf,localized,0.75,0.1,180m_anchored_rerun,0.0,identity,0.0,False,1.0
MDB_ST1_MIXED_ATOMS,ST1,strong mixed endpoint atoms,additional_stress,MDB_ST1_COMMON,0.4,moderate,moderate,true_queen,none,0.0,observed_moderate,nonlinear,mixed_atoms_strong,gaussian_gmrf,localized,0.75,0.1,90m_primary,0.0,identity,0.0,False,1.0
MDB_ST1_INTERIOR_ONLY,ST1,interior-only treatment negative endpoint reference,additional_stress,MDB_ST1_COMMON,0.4,moderate,moderate,true_queen,none,0.0,observed_moderate,nonlinear,interior_only,gaussian_gmrf,localized,0.75,0.1,90m_primary,0.0,identity,0.0,False,1.0
MDB_ST2_TEMPORAL,ST2,repeated mine-year temporal dependence,additional_stress,MDB_ST2_TEMPORAL,0.4,moderate,moderate,true_queen,none,0.0,observed_moderate,nonlinear,mixed_atoms_0_1,gaussian_gmrf,localized,0.75,0.1,90m_primary,0.0,identity,0.0,True,1.0
MDB_ST3_HIDDEN_C2,ST3,hidden spatial confounding C2 negative control,additional_stress,MDB_ST3_HIDDEN_C2,0.4,moderate,moderate,true_queen,none,0.0,hidden_C2_negative_control,nonlinear,mixed_atoms_0_1,gaussian_gmrf,localized,0.75,0.1,90m_primary,0.0,identity,0.0,False,1.0
